,userId,movieId,rating
0,1,2,3.5
1,1,29,3.5
2,1,32,3.5
3,1,47,3.5
4,1,50,3.5
5,1,112,3.5
6,1,151,4.0
7,1,223,4.0
8,1,253,4.0
9,1,260,4.0
10,1,293,4.0
11,1,296,4.0
12,1,318,4.0
13,1,337,3.5
14,1,367,3.5
175,2,3,4.0
176,2,62,5.0
177,2,70,5.0
178,2,110,4.0
179,2,242,3.0
180,2,260,5.0
181,2,266,5.0
182,2,469,3.0
183,2,480,5.0
236,3,1,4.0
237,3,24,3.0
238,3,32,4.0
239,3,50,5.0
240,3,160,3.0
241,3,173,2.0
242,3,175,5.0
243,3,196,3.0
244,3,223,5.0
245,3,260,5.0
246,3,316,5.0
247,3,318,5.0
248,3,329,5.0
249,3,337,3.0
250,3,440,3.0
251,3,442,3.0
252,3,457,5.0
253,3,480,5.0
254,3,490,5.0
423,4,6,3.0
424,4,10,4.0
425,4,19,3.0
426,4,32,1.0
427,4,165,3.0
428,4,329,3.0
429,4,350,4.0
430,4,356,4.0
431,4,367,3.0
432,4,368,4.0
433,4,370,4.0
434,4,377,4.0
435,4,380,3.0
436,4,420,3.0
437,4,431,4.0
438,4,440,3.0
439,4,454,5.0
440,4,480,4.0
441,4,489,4.0
451,5,2,3.0
452,5,11,5.0
453,5,17,3.0
454,5,60,3.0
455,5,62,5.0
456,5,104,2.0
457,5,110,4.0
458,5,140,2.0
459,5,141,5.0
460,5,150,5.0
461,5,224,2.0
462,5,235,3.0
463,5,260,5.0
464,5,282,4.0
465,5,316,4.0
466,5,318,5.0
467,5,350,4.0
468,5,364,5.0
469,5,367,3.0
470,5,368,5.0
471,5,370,4.0
472,5,376,4.0
473,5,377,5.0
474,5,380,5.0
475,5,440,5.0
476,5,454,5.0
477,5,457,5.0
478,5,475,4.0
479,5,480,4.0
480,5,491,4.0
517,6,1,5.0
518,6,3,3.0
519,6,7,5.0
520,6,17,5.0
521,6,52,5.0
522,6,62,5.0
523,6,135,3.0
524,6,140,4.0
525,6,141,5.0
526,6,260,4.0
527,6,494,4.0
541,7,3,3.0
542,7,7,3.0
543,7,11,4.0
544,7,15,2.0
545,7,16,3.0
546,7,17,2.0
547,7,24,3.0
548,7,105,2.0
549,7,122,2.0
